"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HRWKD","TOT","HR_WKD","A","1985",1876,
"AUS","HRWKD","TOT","HR_WKD","A","1986",1877,
"AUS","HRWKD","TOT","HR_WKD","A","1987",1889,
"AUS","HRWKD","TOT","HR_WKD","A","1988",1885,
"AUS","HRWKD","TOT","HR_WKD","A","1989",1875,
"AUS","HRWKD","TOT","HR_WKD","A","1990",1853,
"AUS","HRWKD","TOT","HR_WKD","A","1991",1854,
"AUS","HRWKD","TOT","HR_WKD","A","1992",1846,
"AUS","HRWKD","TOT","HR_WKD","A","1993",1856,
"AUS","HRWKD","TOT","HR_WKD","A","1994",1874,
"AUS","HRWKD","TOT","HR_WKD","A","1995",1870,
"AUS","HRWKD","TOT","HR_WKD","A","1996",1862,
"AUS","HRWKD","TOT","HR_WKD","A","1997",1861,
"AUS","HRWKD","TOT","HR_WKD","A","1998",1850,
"AUS","HRWKD","TOT","HR_WKD","A","1999",1856,
"AUS","HRWKD","TOT","HR_WKD","A","2000",1852,
"AUS","HRWKD","TOT","HR_WKD","A","2001",1829,
"AUS","HRWKD","TOT","HR_WKD","A","2002",1818,
"AUS","HRWKD","TOT","HR_WKD","A","2003",1807,
"AUS","HRWKD","TOT","HR_WKD","A","2004",1811,
"AUS","HRWKD","TOT","HR_WKD","A","2005",1808,
"AUS","HRWKD","TOT","HR_WKD","A","2006",1802,
"AUS","HRWKD","TOT","HR_WKD","A","2007",1803,
"AUS","HRWKD","TOT","HR_WKD","A","2008",1799,
"AUS","HRWKD","TOT","HR_WKD","A","2009",1767,
"AUS","HRWKD","TOT","HR_WKD","A","2010",1778,
"AUS","HRWKD","TOT","HR_WKD","A","2011",1774,
"AUS","HRWKD","TOT","HR_WKD","A","2012",1771,
"AUS","HRWKD","TOT","HR_WKD","A","2013",1766,
"AUS","HRWKD","TOT","HR_WKD","A","2014",1755,
"AUS","HRWKD","TOT","HR_WKD","A","2015",1751,
"AUS","HRWKD","TOT","HR_WKD","A","2016",1739,
"AUS","HRWKD","TOT","HR_WKD","A","2017",1738,
"AUS","HRWKD","TOT","HR_WKD","A","2018",1733,
"AUS","HRWKD","TOT","HR_WKD","A","2019",1722,
"AUS","HRWKD","TOT","HR_WKD","A","2020",1683,
"AUT","HRWKD","TOT","HR_WKD","A","1995",1653,
"AUT","HRWKD","TOT","HR_WKD","A","1996",1683,
"AUT","HRWKD","TOT","HR_WKD","A","1997",1691,
"AUT","HRWKD","TOT","HR_WKD","A","1998",1671,
"AUT","HRWKD","TOT","HR_WKD","A","1999",1675,
"AUT","HRWKD","TOT","HR_WKD","A","2000",1675,
"AUT","HRWKD","TOT","HR_WKD","A","2001",1663,
"AUT","HRWKD","TOT","HR_WKD","A","2002",1661,
"AUT","HRWKD","TOT","HR_WKD","A","2003",1652,
"AUT","HRWKD","TOT","HR_WKD","A","2004",1655,
"AUT","HRWKD","TOT","HR_WKD","A","2005",1632,
"AUT","HRWKD","TOT","HR_WKD","A","2006",1617,
"AUT","HRWKD","TOT","HR_WKD","A","2007",1606,
"AUT","HRWKD","TOT","HR_WKD","A","2008",1599,
"AUT","HRWKD","TOT","HR_WKD","A","2009",1558,
"AUT","HRWKD","TOT","HR_WKD","A","2010",1552,
"AUT","HRWKD","TOT","HR_WKD","A","2011",1557,
"AUT","HRWKD","TOT","HR_WKD","A","2012",1535,
"AUT","HRWKD","TOT","HR_WKD","A","2013",1520,
"AUT","HRWKD","TOT","HR_WKD","A","2014",1510,
"AUT","HRWKD","TOT","HR_WKD","A","2015",1495,
"AUT","HRWKD","TOT","HR_WKD","A","2016",1507,
"AUT","HRWKD","TOT","HR_WKD","A","2017",1498,
"AUT","HRWKD","TOT","HR_WKD","A","2018",1502,
"AUT","HRWKD","TOT","HR_WKD","A","2019",1509,
"AUT","HRWKD","TOT","HR_WKD","A","2020",1400,
"BEL","HRWKD","TOT","HR_WKD","A","1970",1883.2,
"BEL","HRWKD","TOT","HR_WKD","A","1971",1873.4,
"BEL","HRWKD","TOT","HR_WKD","A","1972",1847.5,
"BEL","HRWKD","TOT","HR_WKD","A","1973",1820.1,
"BEL","HRWKD","TOT","HR_WKD","A","1974",1791.9,
"BEL","HRWKD","TOT","HR_WKD","A","1975",1782.7,
"BEL","HRWKD","TOT","HR_WKD","A","1976",1785.5,
"BEL","HRWKD","TOT","HR_WKD","A","1977",1759.8,
"BEL","HRWKD","TOT","HR_WKD","A","1978",1743,
"BEL","HRWKD","TOT","HR_WKD","A","1979",1726.6,
"BEL","HRWKD","TOT","HR_WKD","A","1980",1706.5,
"BEL","HRWKD","TOT","HR_WKD","A","1981",1683.4,
"BEL","HRWKD","TOT","HR_WKD","A","1982",1669,
"BEL","HRWKD","TOT","HR_WKD","A","1983",1674.9,
"BEL","HRWKD","TOT","HR_WKD","A","1984",1699,
"BEL","HRWKD","TOT","HR_WKD","A","1985",1705,
"BEL","HRWKD","TOT","HR_WKD","A","1986",1685,
"BEL","HRWKD","TOT","HR_WKD","A","1987",1669.9,
"BEL","HRWKD","TOT","HR_WKD","A","1988",1657.9,
"BEL","HRWKD","TOT","HR_WKD","A","1989",1648.9,
"BEL","HRWKD","TOT","HR_WKD","A","1990",1662.9,
"BEL","HRWKD","TOT","HR_WKD","A","1991",1625.8,
"BEL","HRWKD","TOT","HR_WKD","A","1992",1602.7,
"BEL","HRWKD","TOT","HR_WKD","A","1993",1558.6,
"BEL","HRWKD","TOT","HR_WKD","A","1994",1558.6,
"BEL","HRWKD","TOT","HR_WKD","A","1995",1578,
"BEL","HRWKD","TOT","HR_WKD","A","1996",1575,
"BEL","HRWKD","TOT","HR_WKD","A","1997",1582,
"BEL","HRWKD","TOT","HR_WKD","A","1998",1574,
"BEL","HRWKD","TOT","HR_WKD","A","1999",1575,
"BEL","HRWKD","TOT","HR_WKD","A","2000",1589,
"BEL","HRWKD","TOT","HR_WKD","A","2001",1581,
"BEL","HRWKD","TOT","HR_WKD","A","2002",1594,
"BEL","HRWKD","TOT","HR_WKD","A","2003",1598,
"BEL","HRWKD","TOT","HR_WKD","A","2004",1588,
"BEL","HRWKD","TOT","HR_WKD","A","2005",1578,
"BEL","HRWKD","TOT","HR_WKD","A","2006",1592,
"BEL","HRWKD","TOT","HR_WKD","A","2007",1594,
"BEL","HRWKD","TOT","HR_WKD","A","2008",1582,
"BEL","HRWKD","TOT","HR_WKD","A","2009",1563,
"BEL","HRWKD","TOT","HR_WKD","A","2010",1574,
"BEL","HRWKD","TOT","HR_WKD","A","2011",1590,
"BEL","HRWKD","TOT","HR_WKD","A","2012",1587,
"BEL","HRWKD","TOT","HR_WKD","A","2013",1586,
"BEL","HRWKD","TOT","HR_WKD","A","2014",1582,
"BEL","HRWKD","TOT","HR_WKD","A","2015",1575,
"BEL","HRWKD","TOT","HR_WKD","A","2016",1574,
"BEL","HRWKD","TOT","HR_WKD","A","2017",1578,
"BEL","HRWKD","TOT","HR_WKD","A","2018",1580,
"BEL","HRWKD","TOT","HR_WKD","A","2019",1576,
"BEL","HRWKD","TOT","HR_WKD","A","2020",1481,
"CAN","HRWKD","TOT","HR_WKD","A","1961",2059,
"CAN","HRWKD","TOT","HR_WKD","A","1962",2058,
"CAN","HRWKD","TOT","HR_WKD","A","1963",2041,
"CAN","HRWKD","TOT","HR_WKD","A","1964",2033,
"CAN","HRWKD","TOT","HR_WKD","A","1965",2016,
"CAN","HRWKD","TOT","HR_WKD","A","1966",2001,
"CAN","HRWKD","TOT","HR_WKD","A","1967",1993,
"CAN","HRWKD","TOT","HR_WKD","A","1968",1958,
"CAN","HRWKD","TOT","HR_WKD","A","1969",1943,
"CAN","HRWKD","TOT","HR_WKD","A","1970",1925,
"CAN","HRWKD","TOT","HR_WKD","A","1971",1912,
"CAN","HRWKD","TOT","HR_WKD","A","1972",1904,
"CAN","HRWKD","TOT","HR_WKD","A","1973",1898,
"CAN","HRWKD","TOT","HR_WKD","A","1974",1891,
"CAN","HRWKD","TOT","HR_WKD","A","1975",1872,
"CAN","HRWKD","TOT","HR_WKD","A","1976",1862,
"CAN","HRWKD","TOT","HR_WKD","A","1977",1834,
"CAN","HRWKD","TOT","HR_WKD","A","1978",1836,
"CAN","HRWKD","TOT","HR_WKD","A","1979",1841,
"CAN","HRWKD","TOT","HR_WKD","A","1980",1827,
"CAN","HRWKD","TOT","HR_WKD","A","1981",1812,
"CAN","HRWKD","TOT","HR_WKD","A","1982",1789,
