"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2001",1,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2002",2,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2003",2,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2004",1,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2005",4,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2006",5,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2007",8,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2008",10,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2009",8,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2010",6,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2011",7,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2012",8,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2013",6,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2014",6,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2015",6,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2016",5,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2017",7,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2018",8,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2019",8,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2020",8,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2001",8,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2002",12,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2003",13,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2004",16,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2005",20,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2006",20,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2007",20,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2008",22,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2009",20,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2010",19,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2011",20,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2012",20,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2013",19,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2014",18,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2015",18,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2016",18,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2017",19,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2018",19,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2019",19,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2020",18,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2001",0,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2002",0,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2003",2,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2004",0,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2005",6,
